Date-Time, temp1, temp2, emissivity, gray_level1, gray_level2, A, B
2020_29_03__15_15_12, 36.0, 39.0, 1.0, 3165.84497872, 3391.17366469, 75.1095619922, 461.900746998
2020_29_03__15_16_45, 36.0, 39.0, 1.0, 3160.65308674, 3387.04383951, 75.4635842582, 443.964053444
2020_29_03__16_05_28, 36.0, 39.0, 1.0, 3174.072551, 3403.11237794, 76.3466089826, 425.594627625
2020_29_03__16_09_57, 36.0, 39.0, 1.0, 3173.52329311, 3402.4193654, 76.2986907644, 426.770425594
2020_29_03__16_17_52, 36.0, 39.0, 1.0, 3171.14400018, 3380.54644126, 69.8008136925, 658.314707253
2020_29_03__16_23_36, 36.0, 39.0, 1.0, 3175.9707164, 3411.21953074, 78.4162714454, 352.984944368
2020_29_03__16_31_33, 36.0, 39.0, 1.0, 3185.56034748, 3424.80275962, 79.7474707127, 314.65140182
2020_29_03__16_44_25, 36.0, 39.0, 1.0, 3142.33944486, 3376.35691427, 78.0058231353, 334.129811993
2020_29_03__17_21_29, 36.0, 39.0, 1.0, 3165.97927133, 3301.33221395, 45.1176475413, 1541.74395984
2020_29_03__18_15_22, 37.8, 39.0, 1.0, 3300.51431127, 3406.46582031, 88.292924202, -36.9582235647
2020_29_03__18_19_08, 37.8, 39.0, 1.0, 3291.7785, 3404.1191067, 93.6171722498, -246.950611042
2020_29_03__18_43_39, 32.0, 35.0, 1.0, 2854.89046823, 3101.13243547, 82.0806557461, 228.309484352
2020_29_03__18_45_04, 32.0, 35.0, 1.0, 2862.79030875, 3102.41852679, 79.8760726793, 306.755983011
2020_29_03__18_50_42, 32.0, 35.0, 1.0, 2845.91272842, 3090.41187739, 81.4997163254, 237.921806005
2020_29_03__19_05_13, 32.0, 35.0, 1.0, 2817.61939103, 3061.84, 81.4068696581, 212.599561966
2020_29_03__19_13_40, 32.0, 35.0, 1.0, 2807.94652174, 3051.81032258, 81.2879336138, 206.732646096
2020_30_03__07_25_23, 32.0, 35.0, 1.0, 2358.61904762, 2351.54166667, -2.35912698413, 2434.11111111
2020_30_03__07_57_35, 32.0, 35.0, 1.0, 3224.70182556, 3179.22305764, -15.1595893046, 3709.8086833
2020_30_03__08_01_05, 32.0, 35.0, 1.0, 2957.9986413, 3183.14358974, 75.0483161464, 556.452524619
2020_30_03__08_08_12, 32.0, 35.0, 1.0, 2968.99210904, 3193.18136646, 74.7297524736, 577.640029883
